branch;term;nb_occu
TAG; référentiel activités;20
TAG; magasinier cap;18
TAG; tag magasinier;17
TAG; professionnelles tag;16
TAG; opérations réalisation;8
TAG; suivi stock;6
TAG; rapidité exécution;5
TAG; station debout;4
TAG; outil informatique;4
TAG; chargement déchargement;3
TAG; seul équipe;3
TAG; hygiène sécurité;3
TAG; vérification conformité;3
TAG; déchargement contrôle;3
TAG; traitement stockage;3
TAG; stockage marchandises;3
TAG; optimisation suivi;3
TAG; prise charge;3
TAG; charge commande;3
TAG; expédition marchandises;3
TAG; participation activités;3
TAG; activités liées;3
TAG; remise état;3
TAG; état zones;3
TAG; référentiel activités professionnelles;20
TAG; tag magasinier cap;17
TAG; activités professionnelles tag;16
TAG; professionnelles tag magasinier;16
TAG; optimisation suivi stock;3
TAG; prise charge commande;3
TAG; participation activités liées;3
TAG; remise état zones;3
TAG; état zones activité;3
TAG; stock référentiel activités;3
TAG; marchandises opérations réalisation;3
TAG; magasinier cap tache;3
TAG; formation enseignement professionnels;2
TAG; analyse risques professionnels;2
TAG; suggestions quant formation;2
TAG; formation référentiel activités;2
TAG; référentiel activités professionnelles tag;16
TAG; activités professionnelles tag magasinier;16
TAG; professionnelles tag magasinier cap;16
TAG; remise état zones activité;3
TAG; stock référentiel activités professionnelles;3
TAG; tag magasinier cap tache;3
TAG; formation référentiel activités professionnelles;2
TAG; travail référentiel activités professionnelles;2
TAG; participation activités liées inventaire;2
TAG; suivi stock référentiel activités;2
TAG; discipline domaine limite connaissances;2
TAG; domaine limite connaissances exigées;2
TAG; référentiel activités professionnelles tag magasinier;16
TAG; activités professionnelles tag magasinier cap;16
TAG; stock référentiel activités professionnelles tag;3
TAG; professionnelles tag magasinier cap tache;3
TAG; suivi stock référentiel activités professionnelles;2
TAG; discipline domaine limite connaissances exigées;2
TAG; république algérienne démocratique populaire ministère;1
TAG; algérienne démocratique populaire ministère formation;1
TAG; démocratique populaire ministère formation enseignement;1
TAG; populaire ministère formation enseignement professionnels;1
TAV; montage;61
TAV; techniques;59
TAV; professionnelles;28
TAV; tav;28
TAV; référentiel;27
TAV; activités;27
TAV; audiovisuelles;27
TAV; option;27
TAV; infp;26
TAV; taches;23
TAV; travail;22
TAV; réalisation;21
TAV; opérations;20
TAV; équipements;19
TAV; poste;19
TAV; bonne;17
TAV; uvre;17
TAV; description;16
TAV; réaliser;16
TAV; condition;16
TAV; organisation;16
TAV; matériel;15
TAV; tache;15
TAV; micro;14
TAV; ordinateur;14
TAV; précision;14
TAV; outils;13
TAV; préparer;13
TAV; application;13
TAV; technique;12
TAV; stockage;12
TAV; périphériques;12
TAV; acquisition;12
TAV; logiciel;12
TAV; images;11
TAV; travaux;11
TAV; produit;11
TAV; appareils;11
TAV; gestes;11
TAV; supports;10
TAV; fonctionnement;10
TAV; matière;10
TAV; choix;9
TAV; éléments;9
TAV; image;9
TAV; qualité;9
TAV; contrôler;9
TAV; audio;8
TAV; visuel;8
TAV; effectuer;8
TAV; référentiel activités;27
TAV; activités professionnelles;27
TAV; techniques audiovisuelles;27
TAV; audiovisuelles option;27
TAV; option montage;27
TAV; infp tav;26
TAV; tav techniques;26
TAV; professionnelles infp;25
TAV; montage description;16
TAV; description taches;15
TAV; taches poste;15
TAV; opérations condition;15
TAV; condition réalisation;15
TAV; micro ordinateur;13
TAV; techniques uvre;11
TAV; poste techniques;10
TAV; réaliser travaux;9
TAV; équipements supports;8
TAV; réalisation micro;8
TAV; uvre tache;8
TAV; poste technologie;7
TAV; technologie équipements;7
TAV; précision gestes;7
TAV; audio visuel;6
TAV; supports tache;6
TAV; référentiel activités professionnelles;27
TAV; techniques audiovisuelles option;27
TAV; audiovisuelles option montage;27
TAV; infp tav techniques;26
TAV; tav techniques audiovisuelles;26
TAV; activités professionnelles infp;25
TAV; professionnelles infp tav;25
TAV; option montage description;15
TAV; montage description taches;15
TAV; description taches poste;15
TAV; opérations condition réalisation;15
TAV; poste techniques uvre;10
TAV; condition réalisation micro;8
TAV; réalisation micro ordinateur;8
TAV; taches poste techniques;8
TAV; techniques uvre tache;8
TAV; techniques audiovisuelles option montage;27
TAV; infp tav techniques audiovisuelles;26
TAV; tav techniques audiovisuelles option;26
TAV; référentiel activités professionnelles infp;25
TAV; activités professionnelles infp tav;25
TAV; professionnelles infp tav techniques;25
TAV; audiovisuelles option montage description;15
TAV; option montage description taches;15
TAV; montage description taches poste;15
TAV; opérations condition réalisation micro;8
TAV; condition réalisation micro ordinateur;8
TAV; description taches poste techniques;8
TAV; infp tav techniques audiovisuelles option;26
TAV; tav techniques audiovisuelles option montage;26
TAV; référentiel activités professionnelles infp tav;25
TAV; activités professionnelles infp tav techniques;25
TAV; professionnelles infp tav techniques audiovisuelles;25
TAV; techniques audiovisuelles option montage description;15
TAV; audiovisuelles option montage description taches;15
TAV; option montage description taches poste;15
TAV; opérations condition réalisation micro ordinateur;8
TAV; montage description taches poste techniques;8
BTP; travaux;41
BTP; maquette;39
BTP; maquettiste;38
BTP; publics;36
BTP; bâtiment;35
BTP; professionnelles;33
BTP; activités;32
BTP; btp;30
BTP; référentiel;29
BTP; infp;28
BTP; éléments;28
BTP; taches;25
BTP; réalisation;24
BTP; technique;22
BTP; matériel;21
BTP; opérations;20
BTP; techniques;19
BTP; travail;18
BTP; moyens;18
BTP; outils;17
BTP; sécurité;17
BTP; dessin;17
BTP; uvre;16
BTP; réaliser;16
BTP; dossier;16
BTP; matériaux;15
BTP; atelier;14
BTP; matière;14
BTP; cette;13
BTP; qualité;13
BTP; assemblage;13
BTP; finition;13
BTP; tache;12
BTP; constitutifs;11
BTP; coupe;11
BTP; finitions;11
BTP; exécute;11
BTP; hygiène;10
BTP; processus;9
BTP; formation;8
BTP; analyse;8
BTP; documents;8
BTP; montage;8
BTP; accessoires;8
BTP; documentation;8
BTP; niveau;7
BTP; risques;7
BTP; maquettes;7
BTP; exécuter;7
BTP; sculpture;7
BTP; travaux publics;36
BTP; bâtiment travaux;34
BTP; maquettiste bâtiment;33
BTP; référentiel activités;29
BTP; activités professionnelles;29
BTP; infp btp;28
BTP; btp maquettiste;28
BTP; professionnelles infp;27
BTP; opérations réalisation;12
BTP; cette taches;10
BTP; taches exécute;10
BTP; dossier technique;10
BTP; publics tache;10
BTP; éléments constitutifs;9
BTP; exécute atelier;9
BTP; matière uvre;9
BTP; constitutifs maquette;8
BTP; maquette opérations;6
BTP; hygiène sécurité;6
BTP; tableau taches;5
BTP; taches operations;5
BTP; taches opérations;5
BTP; terrain assiette;5
BTP; maquette référentiel;5
BTP; publics tableau;4
BTP; bâtiment travaux publics;34
BTP; maquettiste bâtiment travaux;33
BTP; référentiel activités professionnelles;29
BTP; infp btp maquettiste;28
BTP; btp maquettiste bâtiment;28
BTP; activités professionnelles infp;27
BTP; professionnelles infp btp;27
BTP; cette taches exécute;10
BTP; travaux publics tache;10
BTP; taches exécute atelier;9
BTP; éléments constitutifs maquette;7
BTP; maquette opérations réalisation;6
BTP; tableau taches operations;5
BTP; maquette référentiel activités;5
BTP; travaux publics tableau;4
BTP; publics tableau taches;4
BTP; maquettiste bâtiment travaux publics;33
BTP; infp btp maquettiste bâtiment;28
BTP; btp maquettiste bâtiment travaux;28
BTP; référentiel activités professionnelles infp;27
BTP; activités professionnelles infp btp;27
BTP; professionnelles infp btp maquettiste;27
BTP; bâtiment travaux publics tache;10
BTP; cette taches exécute atelier;9
BTP; maquette référentiel activités professionnelles;5
BTP; bâtiment travaux publics tableau;4
BTP; travaux publics tableau taches;4
BTP; publics tableau taches operations;4
BTP; infp btp maquettiste bâtiment travaux;28
BTP; btp maquettiste bâtiment travaux publics;28
BTP; référentiel activités professionnelles infp btp;27
BTP; activités professionnelles infp btp maquettiste;27
BTP; professionnelles infp btp maquettiste bâtiment;27
BTP; maquettiste bâtiment travaux publics tache;10
BTP; maquette référentiel activités professionnelles infp;5
BTP; maquettiste bâtiment travaux publics tableau;4
BTP; bâtiment travaux publics tableau taches;4
BTP; travaux publics tableau taches operations;4
CMS; dessin;79
CMS; cms;51
CMS; competence;40
CMS; référentiel;26
CMS; certification;26
CMS; etudes;26
CMS; bt;25
CMS; description;22
CMS; compétence;20
CMS; enonce;20
CMS; elements;20
CMS; criteres;20
CMS; travail;17
CMS; logiciel;16
CMS; individuellement;16
CMS; realisation;16
CMS; matériaux;15
CMS; dessins;15
CMS; compétences;14
CMS; techniques;14
CMS; mécanique;13
CMS; pièce;13
CMS; interprétation;13
CMS; mesures;13
CMS; dimensions;12
CMS; professionnelle;12
CMS; documentation;12
CMS; informatique;11
CMS; normes;11
CMS; complémentaire;11
CMS; juste;11
CMS; croquis;10
CMS; métier;10
CMS; langue;10
CMS; document;10
CMS; communiquer;10
CMS; information;9
CMS; réaliser;9
CMS; interpréter;9
CMS; qualité;9
CMS; problèmes;9
CMS; technique;9
CMS; instruments;9
CMS; dao;8
CMS; ensemble;8
CMS; exploiter;8
CMS; considérée;8
CMS; déterminer;8
CMS; sécurité;8
CMS; documents;8
CMS; référentiel certification;26
CMS; dessin etudes;26
CMS; cms dessin;25
CMS; etudes cms;25
CMS; cms bt;25
CMS; certification cms;23
CMS; bt description;20
CMS; description compétence;20
CMS; enonce competence;20
CMS; elements competence;20
CMS; realisation individuellement;12
CMS; compétence professionnelle;10
CMS; professionnelle enonce;10
CMS; compétence complémentaire;10
CMS; complémentaire enonce;10
CMS; réaliser dessin;8
CMS; logiciel dao;8
CMS; langue considérée;8
CMS; résoudre problèmes;7
CMS; exploiter document;6
CMS; document lié;6
CMS; lié exercice;6
CMS; métier communiquer;6
CMS; communiquer langue;6
CMS; normes conventions;6
CMS; cms dessin etudes;25
CMS; dessin etudes cms;25
CMS; etudes cms bt;25
CMS; référentiel certification cms;23
CMS; certification cms dessin;23
CMS; cms bt description;20
CMS; bt description compétence;20
CMS; description compétence professionnelle;10
CMS; compétence professionnelle enonce;10
CMS; professionnelle enonce competence;10
CMS; description compétence complémentaire;10
CMS; compétence complémentaire enonce;10
CMS; complémentaire enonce competence;10
CMS; exploiter document lié;6
CMS; document lié exercice;6
CMS; métier communiquer langue;6
CMS; cms dessin etudes cms;25
CMS; dessin etudes cms bt;25
CMS; référentiel certification cms dessin;23
CMS; certification cms dessin etudes;23
CMS; etudes cms bt description;20
CMS; cms bt description compétence;20
CMS; bt description compétence professionnelle;10
CMS; description compétence professionnelle enonce;10
CMS; compétence professionnelle enonce competence;10
CMS; bt description compétence complémentaire;10
CMS; description compétence complémentaire enonce;10
CMS; compétence complémentaire enonce competence;10
CMS; cms dessin etudes cms bt;25
CMS; référentiel certification cms dessin etudes;23
CMS; certification cms dessin etudes cms;23
CMS; dessin etudes cms bt description;20
CMS; etudes cms bt description compétence;20
CMS; cms bt description compétence professionnelle;10
CMS; bt description compétence professionnelle enonce;10
CMS; description compétence professionnelle enonce competence;10
CMS; cms bt description compétence complémentaire;10
CMS; bt description compétence complémentaire enonce;10
ELE; maintenance;143
ELE; équipements;106
ELE; informatiques;87
ELE; bureautiques;81
ELE; ele;77
ELE; études;77
ELE; infp;76
ELE; caractéristiques;60
ELE; fonctionnement;54
ELE; base;50
ELE; définir;50
ELE; installation;44
ELE; système;43
ELE; exacte;39
ELE; électroniques;37
ELE; mécanisme;35
ELE; techniques;34
ELE; dépannage;33
ELE; problèmes;31
ELE; montage;30
ELE; électronique;29
ELE; appropriée;29
ELE; application;29
ELE; méthode;29
ELE; circuits;29
ELE; identifier;29
ELE; etude;28
ELE; systèmes;27
ELE; types;27
ELE; composants;27
ELE; mémoire;27
ELE; structure;26
ELE; exploitation;26
ELE; travail;26
ELE; identification;26
ELE; cartes;26
ELE; appliquer;24
ELE; principe;24
ELE; préventive;24
ELE; fonction;23
ELE; juste;23
ELE; description;23
ELE; causes;23
ELE; méthodes;22
ELE; réparer;21
ELE; analyser;21
ELE; analyse;21
ELE; schémas;21
ELE; mesure;20
ELE; entreprise;20
ELE; équipements informatiques;80
ELE; maintenance équipements;79
ELE; informatiques bureautiques;79
ELE; infp ele;76
ELE; ele maintenance;76
ELE; études infp;74
ELE; maintenance préventive;23
ELE; identification exacte;19
ELE; entretenir réparer;16
ELE; préventive curative;15
ELE; principe fonctionnement;14
ELE; appliquer notions;12
ELE; documentation appropriée;11
ELE; papier crayon;11
ELE; crayon stylo;11
ELE; stylo gomme;11
ELE; gomme règle;11
ELE; méthode travail;11
ELE; système exploitation;11
ELE; notions base;10
ELE; nécessaires écritures;10
ELE; écritures papier;10
ELE; bureautiques définir;10
ELE; outillage approprié;10
ELE; cartes électroniques;10
ELE; maintenance équipements informatiques;79
ELE; équipements informatiques bureautiques;79
ELE; infp ele maintenance;76
ELE; ele maintenance équipements;76
ELE; études infp ele;74
ELE; maintenance préventive curative;15
ELE; papier crayon stylo;11
ELE; crayon stylo gomme;11
ELE; stylo gomme règle;11
ELE; nécessaires écritures papier;10
ELE; écritures papier crayon;10
ELE; informatiques bureautiques définir;10
ELE; appliquer notions base;9
ELE; appropriée outillage méthode;9
ELE; outillage méthode travail;9
ELE; informatiques bureautiques entretenir;9
ELE; maintenance équipements informatiques bureautiques;79
ELE; infp ele maintenance équipements;76
ELE; ele maintenance équipements informatiques;76
ELE; études infp ele maintenance;74
ELE; papier crayon stylo gomme;11
ELE; crayon stylo gomme règle;11
ELE; nécessaires écritures papier crayon;10
ELE; écritures papier crayon stylo;10
ELE; équipements informatiques bureautiques définir;10
ELE; appropriée outillage méthode travail;9
ELE; équipements informatiques bureautiques entretenir;9
ELE; directives documentation appropriée schémas;8
ELE; infp ele maintenance équipements informatiques;76
ELE; ele maintenance équipements informatiques bureautiques;76
ELE; études infp ele maintenance équipements;74
ELE; papier crayon stylo gomme règle;11
ELE; nécessaires écritures papier crayon stylo;10
ELE; écritures papier crayon stylo gomme;10
ELE; maintenance équipements informatiques bureautiques définir;10
ELE; maintenance équipements informatiques bureautiques entretenir;9
ELE; directives documentation appropriée schémas plans;8
ELE; documentation appropriée schémas plans installation;8
ELE; bâtiment;77
ELE; qualification;68
ELE; dispositif;60
ELE; alphabétisation;59
ELE; electricien;52
ELE; technique;41
ELE; éléments;38
ELE; électriques;37
ELE; réalisation;33
ELE; exécution;33
ELE; identification;30
ELE; notions;30
ELE; identifier;30
ELE; sécurité;28
ELE; heures;27
ELE; exacte;27
ELE; données;27
ELE; environnement;26
ELE; protection;24
ELE; formation;23
ELE; câbles;23
ELE; opérations;23
ELE; plan;22
ELE; plans;22
ELE; professionnelle;21
ELE; dessin;21
ELE; commande;20
ELE; travail;20
ELE; hygiène;19
ELE; matériaux;19
ELE; compétence;18
ELE; fixation;17
ELE; travaux;16
ELE; montage;16
ELE; appareillages;16
ELE; poteaux;16
ELE; micro;16
ELE; différentes;16
ELE; instructions;15
ELE; participer;15
ELE; circuits;15
ELE; ordinateur;15
ELE; calcul;15
ELE; croquis;15
ELE; électrique;15
ELE; outils;15
ELE; texte;15
ELE; techniques;15
ELE; circuit;15
ELE; dirigés;15
ELE; electricien bâtiment;52
ELE; alphabétisation qualification;52
ELE; dispositif alphabétisation;51
ELE; qualification electricien;50
ELE; identification exacte;19
ELE; bâtiment éléments;18
ELE; hygiène sécurité;17
ELE; micro ordinateur;15
ELE; travaux dirigés;15
ELE; circuits électriques;14
ELE; dossier exécution;14
ELE; schémas croquis;11
ELE; heures devra;11
ELE; interprétation juste;11
ELE; montage appareillages;10
ELE; sécurité environnement;10
ELE; identifier notions;10
ELE; comptage protection;9
ELE; dessin technique;9
ELE; bâtiment fiches;9
ELE; fiches descriptives;9
ELE; descriptives competence;9
ELE; competence professionnelle;9
ELE; professionnelle énoncé;9
ELE; énoncé compétence;9
ELE; dispositif alphabétisation qualification;51
ELE; qualification electricien bâtiment;50
ELE; alphabétisation qualification electricien;48
ELE; electricien bâtiment éléments;18
ELE; hygiène sécurité environnement;10
ELE; electricien bâtiment fiches;9
ELE; bâtiment fiches descriptives;9
ELE; fiches descriptives competence;9
ELE; descriptives competence professionnelle;9
ELE; competence professionnelle énoncé;9
ELE; professionnelle énoncé compétence;9
ELE; dossier exécution schémas;9
ELE; exécution schémas croquis;9
ELE; appareillages comptage protection;7
ELE; comptage protection commande;7
ELE; bâtiment éléments identifier;7
ELE; dispositif alphabétisation qualification electricien;48
ELE; alphabétisation qualification electricien bâtiment;48
ELE; qualification electricien bâtiment éléments;18
ELE; qualification electricien bâtiment fiches;9
ELE; electricien bâtiment fiches descriptives;9
ELE; bâtiment fiches descriptives competence;9
ELE; fiches descriptives competence professionnelle;9
ELE; descriptives competence professionnelle énoncé;9
ELE; competence professionnelle énoncé compétence;9
ELE; dossier exécution schémas croquis;9
ELE; appareillages comptage protection commande;7
ELE; electricien bâtiment éléments identifier;7
ELE; dispositif alphabétisation qualification electricien bâtiment;48
ELE; alphabétisation qualification electricien bâtiment éléments;18
ELE; alphabétisation qualification electricien bâtiment fiches;9
ELE; qualification electricien bâtiment fiches descriptives;9
ELE; electricien bâtiment fiches descriptives competence;9
ELE; bâtiment fiches descriptives competence professionnelle;9
ELE; fiches descriptives competence professionnelle énoncé;9
ELE; descriptives competence professionnelle énoncé compétence;9
ELE; qualification electricien bâtiment éléments identifier;7
ELE; effectuer opérations exécution exacte opérations;6
TAG; assurance;51
TAG; entreprise;33
TAG; assurances;25
TAG; umq;25
TAG; evaluation;21
TAG; presentation;20
TAG; identifier;20
TAG; criteres;19
TAG; generaux;19
TAG; perfermance;19
TAG; application;19
TAG; opérations;18
TAG; documents;17
TAG; définir;15
TAG; dossiers;14
TAG; contrats;13
TAG; intitulé;13
TAG; gestion;12
TAG; information;12
TAG; techniques;12
TAG; générale;12
TAG; cas;11
TAG; commercial;10
TAG; commerce;10
TAG; communication;10
TAG; formation;9
TAG; comptabilité;9
TAG; accueil;9
TAG; organisation;9
TAG; clientèle;8
TAG; personnes;8
TAG; obligations;8
TAG; fonctions;8
TAG; structure;7
TAG; administrative;7
TAG; classement;7
TAG; rôle;7
TAG; technique;7
TAG; sociétés;7
TAG; droit;7
TAG; commerciaux;7
TAG; déterminer;7
TAG; sinistre;7
TAG; calcule;7
TAG; principes;7
TAG; droits;7
TAG; contrat;7
TAG; désignation;6
TAG; jour;6
TAG; méthodes;6
TAG; criteres generaux;19
TAG; generaux perfermance;19
TAG; presentation intitulé;13
TAG; entreprise assurance;8
TAG; comptabilité générale;7
TAG; presentation umq;6
TAG; umq umq;6
TAG; application entreprise;6
TAG; volume horaire;5
TAG; umq gestion;5
TAG; support information;5
TAG; assurance evaluation;5
TAG; evaluation cas;5
TAG; droit commercial;5
TAG; opérations assurance;5
TAG; opérations sinistre;5
TAG; droits subjectifs;5
TAG; fonctions entreprise;5
TAG; entreprise entreprise;5
TAG; gestion contrats;4
TAG; gestion administrative;4
TAG; structure umq;4
TAG; umq désignation;4
TAG; désignation volume;4
TAG; produits assurance;4
TAG; criteres generaux perfermance;19
TAG; umq gestion administrative;4
TAG; structure umq umq;4
TAG; umq désignation volume;4
TAG; désignation volume horaire;4
TAG; umq établissement gestion;3
TAG; établissement gestion contrats;3
TAG; umq umq gestion;3
TAG; gestion administrative umq;3
TAG; information criteres generaux;3
TAG; generaux perfermance application;3
TAG; etude cas criteres;3
TAG; cas criteres generaux;3
TAG; generaux perfermance identification;3
TAG; formation enseignement professionnels;2
TAG; gestion contrats assurances;2
TAG; umq désignation volume horaire;4
TAG; umq établissement gestion contrats;3
TAG; umq umq gestion administrative;3
TAG; umq gestion administrative umq;3
TAG; information criteres generaux perfermance;3
TAG; criteres generaux perfermance application;3
TAG; etude cas criteres generaux;3
TAG; cas criteres generaux perfermance;3
TAG; criteres generaux perfermance identification;3
TAG; structure umq umq gestion;2
TAG; gestion administrative umq désignation;2
TAG; administrative umq désignation volume;2
TAG; umq umq gestion administrative umq;3
TAG; etude cas criteres generaux perfermance;3
TAG; structure umq umq gestion administrative;2
TAG; umq gestion administrative umq désignation;2
TAG; gestion administrative umq désignation volume;2
TAG; administrative umq désignation volume horaire;2
TAG; support information criteres generaux perfermance;2
TAG; criteres generaux perfermance méthodes techniques;2
TAG; structure umq umq établissement gestion;2
TAG; umq umq établissement gestion contrats;2
BTP; mosaïque;57
BTP; faïence;41
BTP; btp;35
BTP; carrelage;34
BTP; cap;34
BTP; infp;33
BTP; compétence;33
BTP; poser;32
BTP; niveau;31
BTP; pose;26
BTP; carreaux;26
